,Chain,Length,ChainAverage,startingChain,startingEdgeWeight,oneLevelDown,oneLevelDownEdgeWeight,marginalAvgIncrease
38,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Makueni'), ('Makueni', 'Nairobi'), ('Nairobi', 'Mombasa')]",7,0.34124506590966136,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Makueni'), ('Makueni', 'Nairobi')]",0.3595534299322977,-0.01830836402263636
39,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Mombasa')]",5,0.38610516822496843,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Machakos')]",0.3393985260707315,0.04670664215423692
40,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Nairobi'), ('Nairobi', 'Makueni'), ('Makueni', 'Machakos'), ('Machakos', 'Mombasa')]",7,0.3880928468527599,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Nairobi'), ('Nairobi', 'Makueni'), ('Makueni', 'Machakos')]",0.3572863651879006,0.03080648166485933
41,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Nairobi'), ('Nairobi', 'Makueni'), ('Makueni', 'Mombasa')]",6,0.3480296291465457,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Nairobi'), ('Nairobi', 'Makueni')]",0.34035471667868605,0.007674912467859674
42,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Nairobi'), ('Nairobi', 'Mombasa')]",5,0.3150773195180774,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Nairobi')]",0.3359979289541359,-0.0209206094360585
43,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Makueni'), ('Makueni', 'Machakos'), ('Machakos', 'Mombasa')]",6,0.41275797631476735,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Makueni'), ('Makueni', 'Machakos')]",0.3807232242093376,0.032034752105429776
44,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Makueni'), ('Makueni', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Mombasa')]",7,0.37401450680029236,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Makueni'), ('Makueni', 'Meru'), ('Meru', 'Machakos')]",0.34086163512668843,0.03315287167360392
45,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Makueni'), ('Makueni', 'Mombasa')]",5,0.36961514095971176,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Makueni')]",0.3654178783281786,0.0041972626315331385
46,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Mombasa')]",4,0.33382113187741774,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi')]",0.36796321524527587,-0.03414208336785812
47,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Makueni'), ('Makueni', 'Machakos'), ('Machakos', 'Mombasa')]",7,0.38409455704182155,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Makueni'), ('Makueni', 'Machakos')]",0.3526216937418058,0.03147286330001575
48,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Makueni'), ('Makueni', 'Mombasa')]",6,0.34336495770045095,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Makueni')]",0.33475711094337224,0.008607846757078708
49,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Makueni'), ('Makueni', 'Mombasa')]",7,0.3660199950184769,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Makueni')]",0.3626226289405823,0.0033973660778945924
50,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Mombasa')]",6,0.3844538171252394,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Machakos')]",0.346758233181904,0.03769558394333539
51,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Makueni'), ('Makueni', 'Machakos'), ('Machakos', 'Mombasa')]",4,0.38339517473872664,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Makueni'), ('Makueni', 'Machakos')]",0.3202163207043302,0.06317885403439644
52,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Makueni'), ('Makueni', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Mombasa')]",5,0.3350268777336699,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Makueni'), ('Makueni', 'Meru'), ('Meru', 'Machakos')]",0.2755506629566083,0.05947621477706161
53,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Makueni'), ('Makueni', 'Mombasa')]",3,0.3017028486216205,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Makueni')]",0.2593521771895086,0.04235067143211191
54,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Mombasa')]",2,0.19615868428798683,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi')]",0.1609224868021304,0.035236197485856435
55,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Makueni'), ('Makueni', 'Machakos'), ('Machakos', 'Mombasa')]",5,0.3491389480718107,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Makueni'), ('Makueni', 'Machakos')]",0.2931907508792843,0.05594819719252636
56,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Makueni'), ('Makueni', 'Mombasa')]",4,0.27930564681725206,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Makueni')]",0.2436061319277213,0.03569951488953077
57,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Makueni'), ('Makueni', 'Mombasa')]",5,0.3238345612391281,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Makueni')]",0.30819215367744907,0.01564240756167906
58,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Mombasa')]",4,0.34093893595443475,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Machakos')]",0.2636080023252743,0.07733093362916044
59,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Makueni'), ('Makueni', 'Machakos'), ('Machakos', 'Mombasa')]",6,0.38999596328357494,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Makueni'), ('Makueni', 'Machakos')]",0.3534088085719067,0.036587154711668235
60,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Makueni'), ('Makueni', 'Mombasa')]",5,0.3423007253222809,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Makueni')]",0.33127485878139,0.011025866540890883
61,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Makueni'), ('Makueni', 'Mombasa')]",6,0.36890897425633945,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Makueni')]",0.3654099308104385,0.0034990434459009623
62,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Mombasa')]",5,0.39160735663202706,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Machakos')]",0.34627626157955477,0.04533109505247229
63,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Makueni'), ('Makueni', 'Machakos'), ('Machakos', 'Mombasa'), ('Mombasa', 'Nairobi')]",7,0.36340853134857143,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Meru'), ('Meru', 'Makueni'), ('Makueni', 'Machakos'), ('Machakos', 'Mombasa')]",0.3854108062776928,-0.02200227492912138
