,Chain,Length,ChainAverage,startingChain
2279,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Kisumu'), ('Kisumu', 'Eldoret')]",7,0.23976831598598047,"('Mulindi', 'Kabale')"
2280,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kisumu'), ('Kisumu', 'Eldoret')]",7,0.1943709674771866,"('Mulindi', 'Kabale')"
2281,"[('Mulindi', 'Kabale'), ('Kabale', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Kisumu'), ('Kisumu', 'Eldoret')]",7,0.2014948800405363,"('Mulindi', 'Kabale')"
2282,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Kisumu'), ('Kisumu', 'Eldoret')]",6,0.21733873335490717,"('Mulindi', 'Ruhengeri')"
2283,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kisumu'), ('Kisumu', 'Eldoret')]",7,0.2393907102802845,"('Mulindi', 'Ruhengeri')"
2284,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Kisumu'), ('Kisumu', 'Eldoret')]",7,0.2444786261530314,"('Mulindi', 'Ruhengeri')"
2285,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kisumu'), ('Kisumu', 'Eldoret')]",7,0.1990812776442375,"('Mulindi', 'Ruhengeri')"
2286,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Kisumu'), ('Kisumu', 'Eldoret')]",7,0.21005724999095526,"('Mulindi', 'Ruhengeri')"
2287,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Tororo')]",5,0.2909383633743001,"('Mulindi', 'Kabale')"
2288,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Lira'), ('Lira', 'Masindi'), ('Masindi', 'Tororo')]",6,0.2773650875985822,"('Mulindi', 'Kabale')"
2289,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Masindi'), ('Masindi', 'Tororo')]",5,0.26100309892436974,"('Mulindi', 'Kabale')"
2290,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Tororo')]",4,0.27023417598848365,"('Mulindi', 'Kabale')"
